rank,name,anime,favorites,url
787,"Tanaka, Asuka(田中 あすか)",Hibike! Euphonium 2Hibike! Euphonium Movie 2: Todoketai MelodyHibike! Euphonium,2476,https://myanimelist.net/character/120025/Asuka_Tanaka
788,"Nishimiya, Yuzuru(西宮 結絃)",Koe no Katachi,2475,https://myanimelist.net/character/97581/Yuzuru_Nishimiya
789,"Lenz, Krista(クリスタ・レンズ)",Shingeki no Kyojin Season 3Shingeki no KyojinShingeki no Kyojin OVA,2464,https://myanimelist.net/character/62481/Krista_Lenz
790,"Katsura, Hinagiku(桂 ヒナギク)",Hayate no Gotoku!!Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!Hayate no Gotoku!,2463,https://myanimelist.net/character/2270/Hinagiku_Katsura
791,"Amajiki, Tamaki(天喰 環)",Boku no Hero Academia 3rd SeasonBoku no Hero Academia 4th SeasonBoku no Hero Academia 5th Season,2460,https://myanimelist.net/character/149910/Tamaki_Amajiki
792,"Bloodfallen, Shalltear(シャルティア・ブラッドフォールン)",OverlordOverlord: Ple Ple Pleiades - Nazarick Saidai no KikiOverlord Movie 1: Fushisha no Ou,2460,https://myanimelist.net/character/116319/Shalltear_Bloodfallen
793,Noi(能井),DorohedoroDorohedoro: Ma no Omake,2460,https://myanimelist.net/character/16059/Noi
794,"Momozono, Nanami(桃園 奈々生)",Kamisama HajimemashitaKamisama Hajimemashita OVAKamisama Hajimemashita◎,2458,https://myanimelist.net/character/18343/Nanami_Momozono
795,"Haninozuka, Mitsukuni(埴之塚 光邦)",Ouran Koukou Host Club,2457,https://myanimelist.net/character/20/Mitsukuni_Haninozuka
796,"Sawamura, Eijun(沢村 栄純)",Diamond no AceDiamond no Ace: Second SeasonDiamond no Ace: Second Season OVA,2456,https://myanimelist.net/character/22998/Eijun_Sawamura
797,"Nijimura, Okuyasu(虹村 億泰)",JoJo no Kimyou na Bouken Part 4: Diamond wa KudakenaiKishibe Rohan wa Ugokanai,2455,https://myanimelist.net/character/28991/Okuyasu_Nijimura
798,"Aoyama, Nanami(青山 七海)",Sakura-sou no Pet na Kanojo,2454,https://myanimelist.net/character/64167/Nanami_Aoyama
799,"Azusagawa, Kaede(梓川 花楓)",Seishun Buta Yarou wa Odekake Sister no Yume wo MinaiSeishun Buta Yarou wa Bunny Girl Senpai no Yume wo MinaiSeishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,2451,https://myanimelist.net/character/151021/Kaede_Azusagawa
800,"Endou, Kenji(遠藤 健児)",,2432,https://myanimelist.net/character/3442/Kenji_Endou
