rank,name,anime,favorites,url
1386,Jack the Ripper(切り裂きジャック),Shuumatsu no Walküre IIShuumatsu no Walküre II Mini AnimeShuumatsu no Walküre II Part 2,1159,https://myanimelist.net/character/177545/Jack_the_Ripper
1387,"Hattori, Heiji(服部 平次)",Meitantei Conan Movie 07: Meikyuu no CrossroadMeitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!Meitantei Conan Movie 10: Tantei-tachi no Requiem,1159,https://myanimelist.net/character/1745/Heiji_Hattori
1388,Lambo(ランボ),"Katekyou Hitman Reborn!Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!Katekyou Hitman Reborn! x ēlDLIVE Special",1157,https://myanimelist.net/character/1859/Lambo
1389,"Fubuki, Shirou(吹雪 士郎)",Inazuma ElevenInazuma Eleven: Saikyou Gundan Ogre ShuuraiInazuma Eleven Go,1155,https://myanimelist.net/character/26939/Shirou_Fubuki
1390,Jae-ha(ジェハ),Akatsuki no YonaAkatsuki no Yona OVA,1154,https://myanimelist.net/character/67751/Jae-ha
1391,Muten-Roushi(武天老師 / 亀仙人),Dragon BallDragon Ball SpecialsDragon Ball GT,1153,https://myanimelist.net/character/6167/Muten-Roushi
1392,Benimaru(ベニマル),Genjitsu no Rimuru: Sunshine in the SlimeTensei shitara Slime Datta KenTensei shitara Slime Datta Ken OVA,1150,https://myanimelist.net/character/131944/Benimaru
1393,"Naruse, Kakeru(成瀬 翔)",OrangeOrange: Mirai,1148,https://myanimelist.net/character/66593/Kakeru_Naruse
1394,"Souma, Hatori(草摩 はとり)",Fruits BasketFruits Basket 1st SeasonFruits Basket 2nd Season,1148,https://myanimelist.net/character/368/Hatori_Souma
1395,"Fukawa, Touko(腐川 冬子)",Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The AnimationDanganronpa 3: The End of Kibougamine Gakuen - Mirai-henDanganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,1147,https://myanimelist.net/character/65529/Touko_Fukawa
1396,"Arachnera, Rachnera(ラチネラ・アラチネラ)",Monster Musume no Iru NichijouMonster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi DougaMonster Musume no Iru Nichijou OVA,1145,https://myanimelist.net/character/86199/Rachnera_Arachnera
1397,"Gottwald, Jeremiah(ジェレミア・ゴットバルト)",Code Geass: Hangyaku no LelouchCode Geass: Hangyaku no Lelouch Picture DramaCode Geass: Hangyaku no Lelouch Recaps,1144,https://myanimelist.net/character/1113/Jeremiah_Gottwald
1398,"Tsukimiya, Ayu(月宮 あゆ)",KanonKanon KazahanaKanon (2006),1143,https://myanimelist.net/character/250/Ayu_Tsukimiya
1399,"Ichijou, Raku(一条 楽)",NisekoiNisekoi OVANisekoi:,1140,https://myanimelist.net/character/48393/Raku_Ichijou
1400,"Nanami, Ryuusui(龍水 七海)",Dr. Stone: New WorldDr. Stone: RyuusuiDr. Stone: New World Part 2,1139,https://myanimelist.net/character/172220/Ryuusui_Nanami
1401,The Saint(イエス),,1138,https://myanimelist.net/character/87201/The_Saint
1402,"Hazama, Kuroo(間 黒男)",Black Jack Specials: Inochi wo Meguru Yottsu no KisekiBlack JackBlack Jack the Movie,1138,https://myanimelist.net/character/1344/Kuroo_Hazama
1403,"Testarossa, Teletha(テレサ・テスタロッサ)",Full Metal Panic!Full Metal Panic! The Second RaidFull Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,1138,https://myanimelist.net/character/273/Teletha_Testarossa
1404,"Fujinuma, Sachiko(藤沼 佐知子)",Boku dake ga Inai Machi,1137,https://myanimelist.net/character/130214/Sachiko_Fujinuma
1405,"Hiramaru, Kazuya(平丸 一也)",Bakuman.Bakuman. 2nd SeasonBakuman. 3rd Season,1137,https://myanimelist.net/character/22818/Kazuya_Hiramaru
1406,Sonic the Hedgehog(ソニック・ザ・ヘッジホッグ),Sonic XSonic★the★HedgehogSonic: Night of the WereHog,1137,https://myanimelist.net/character/2882/Sonic_the_Hedgehog
1407,"Argento, Asia(アーシア・アルジェント)",High School DxDHigh School DxD OVAHigh School DxD Specials,1136,https://myanimelist.net/character/51335/Asia_Argento
1408,"Naegi, Makoto(苗木 誠)",Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The AnimationDanganronpa 3: The End of Kibougamine Gakuen - Mirai-henDanganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,1134,https://myanimelist.net/character/63851/Makoto_Naegi
1409,"Crosszeria, Luka(ルカ＝クロスゼリア)",Uragiri wa Boku no Namae wo Shitteiru,1134,https://myanimelist.net/character/13460/Luka_Crosszeria
1410,"Samurai, Afro(アフロサムライ)",Afro SamuraiAfro Samurai: ResurrectionAfro Samurai Movie,1134,https://myanimelist.net/character/2549/Afro_Samurai
1411,"Kubo, Nagisa(久保 渚咲)",Kubo-san wa Mob wo Yurusanai,1132,https://myanimelist.net/character/179622/Nagisa_Kubo
